name,start,end,duration (second)
StepV1 - Clearing DB...,2024-07-10 22:10:10.407,2024-07-10 22:10:10.809,0.4022805690765381
StepV2 - Modifying Entities Properties,2024-07-10 22:10:10.810,2024-07-10 22:10:10.810,0.0003082752227783203
StepV3 - Creating Reified Entity Nodes,2024-07-10 22:10:10.810,2024-07-10 22:10:10.811,0.0001735687255859375
StepV4 - Creating Relationship between Entities with different ID...,2024-07-10 22:10:10.811,2024-07-10 22:10:10.811,0.00015425682067871094
StepV5 - Relating Reified Entity Nodes to Non-Reified Entity Node,2024-07-10 22:10:10.811,2024-07-10 22:10:10.811,0.00016760826110839844
StepV6 - Correlate Reified Entities Nodes to Events Node,2024-07-10 22:10:10.812,2024-07-10 22:10:10.812,0.00015687942504882812
StepV7 - Creating DF Relationship for Absolute Entities...,2024-07-10 22:10:10.812,2024-07-10 22:10:11.137,0.325150728225708
StepV8 - Deleting Polluted DF  ...,2024-07-10 22:10:11.138,2024-07-10 22:10:11.138,0.00024437904357910156
StepV9 - Deleting Wrong DF  ...,2024-07-10 22:10:11.138,2024-07-10 22:10:11.138,0.00017952919006347656
StepV10 - Deleting Reverse Reified Relationship  ...,2024-07-10 22:10:11.138,2024-07-10 22:10:11.139,0.0001621246337890625
StepV11 - Deleting correlation between event and Reified entities  ...,2024-07-10 22:10:11.139,2024-07-10 22:10:11.139,0.0001537799835205078
StepV12 - Restoring correlation between event and Reified entities which wrongly deleted in step 12  ...,2024-07-10 22:10:11.139,2024-07-10 22:10:11.139,0.00015354156494140625
StepV13 - Deleting _wrong_rel_and_wrong_refied_entity  ...,2024-07-10 22:10:11.140,2024-07-10 22:10:11.140,0.0001842975616455078
StepV14 - Aggregating Absolute ...,2024-07-10 22:10:11.140,2024-07-10 22:10:11.770,0.6296322345733643
StepV15 - Aggregating Relatively...,2024-07-10 22:10:11.770,2024-07-10 22:10:11.770,0.00027823448181152344
StepV16 - Aggregating All...,2024-07-10 22:10:11.771,2024-07-10 22:10:12.326,0.5550627708435059
StepV17 - Entities Relations... (DFG 6),2024-07-10 22:10:12.326,2024-07-10 22:10:12.326,0.00031280517578125
StepV18 - Entities Relations lower... (DFG 6),2024-07-10 22:10:12.327,2024-07-10 22:10:12.327,0.0002448558807373047
StepV19 - DF for properties... (DFG Property),2024-07-10 22:10:12.327,2024-07-10 22:10:12.537,0.2099001407623291
StepV20 - Aggregating Absolute for Property ...,2024-07-10 22:10:12.538,2024-07-10 22:10:13.406,0.8684673309326172
StepV20 - Aggregating Relative for Property ...,2024-07-10 22:10:13.407,2024-07-10 22:10:13.466,0.05948781967163086
StepV22 - Aggregating All for Property ...,2024-07-10 22:10:13.467,2024-07-10 22:10:14.072,0.6055071353912354
